Node_A,Node_B,Total_Weight,Source_Breakdown
whatever,yad nyat,1,Prajnaparamita-:1
different,yad nyat,1,Prajnaparamita-:1
nyat tad,yad nyat,1,Prajnaparamita-:1
unyat thag,yad nyat,1,Prajnaparamita-:1
tad whatever,yad nyat,1,Prajnaparamita-:1
nyat nyat,yad nyat,1,Prajnaparamita-:1
fferent,yad nyat,1,Prajnaparamita-:1
ROOT_ACCESS,yad nyat,1,Prajnaparamita-:1
surely,yad nyat,1,Prajnaparamita-:1
iha riputra,yad nyat,1,Prajnaparamita-:1
MATTER_CONCEPT,yad nyat,1,Prajnaparamita-:1
riputra nyat,yad nyat,1,Prajnaparamita-:1
nyat nyataiva,yad nyat,1,Prajnaparamita-:1
nyat unyat,nyataiva riputra,1,Prajnaparamita-:1
nyataiva riputra,whatever,1,Prajnaparamita-:1
different,nyataiva riputra,1,Prajnaparamita-:1
nyat tad,nyataiva riputra,1,Prajnaparamita-:1
nyataiva riputra,unyat thag,1,Prajnaparamita-:1
nyataiva riputra,tad whatever,1,Prajnaparamita-:1
nyat nyat,nyataiva riputra,1,Prajnaparamita-:1
fferent,nyataiva riputra,1,Prajnaparamita-:1
ROOT_ACCESS,nyataiva riputra,1,Prajnaparamita-:1
nyataiva riputra,surely,1,Prajnaparamita-:1
iha riputra,nyataiva riputra,1,Prajnaparamita-:1
MATTER_CONCEPT,nyataiva riputra,1,Prajnaparamita-:1
nyataiva riputra,riputra nyat,1,Prajnaparamita-:1
nyat nyataiva,nyataiva riputra,1,Prajnaparamita-:1
nyat unyat,whatever,1,Prajnaparamita-:1
different,nyat unyat,1,Prajnaparamita-:1
nyat tad,nyat unyat,1,Prajnaparamita-:1
nyat unyat,unyat thag,1,Prajnaparamita-:1
nyat unyat,tad whatever,1,Prajnaparamita-:1
nyat nyat,nyat unyat,1,Prajnaparamita-:1
fferent,nyat unyat,1,Prajnaparamita-:1
ROOT_ACCESS,nyat unyat,1,Prajnaparamita-:1
nyat unyat,surely,1,Prajnaparamita-:1
iha riputra,nyat unyat,1,Prajnaparamita-:1
MATTER_CONCEPT,nyat unyat,1,Prajnaparamita-:1
nyat unyat,riputra nyat,1,Prajnaparamita-:1
nyat nyataiva,nyat unyat,1,Prajnaparamita-:1
